handle	text
HillaryClinton	"Donald Trump’s tax plan would give $3.2 trillion to millionaires &amp; billionaires.
Ted Cruz would give them even more.

We can't afford that."
HillaryClinton	"We don’t have time to waste on Trump's fake solutions that won’t do a thing to help your families.
https://t.co/b4aq8SVVAB"
HillaryClinton	“We’re going to build a future that will take advantage of the talents and the hard work of every single one of our children.” —Hillary
HillaryClinton	"Thrilled by this news. Every loving parent, no matter who they are, can now adopt kids in all 50 states. https://t.co/NpUjCpzdQB -H"
HillaryClinton	"It’s Primary Day, Indiana. If you’re a Hoosier for Hillary, vote today: https://t.co/ZP0EculgG0"
HillaryClinton	"""We're not going to be counted out anymore."" —Hillary on @realDonaldTrump's disparaging comments toward women
https://t.co/GTP7YmV9Tc"
HillaryClinton	Our teachers deserve more than just a pat on the back. They deserve a raise. #TeacherAppreciationDay https://t.co/0sgmUFg6mX
HillaryClinton	"Donald Trump is the presumptive @GOP nominee.

Chip in now if you agree we can't let him become president: https://t.co/BSrJDaGSOe"
HillaryClinton	"""As he goes after women, as he goes after literally every group, I'm going to be their voice."" —Hillary on Trump
https://t.co/iNUo2EuTYO"
HillaryClinton	"There's only one candidate left who can stop a Trump presidency.

Chip in now if you've got Hillary's back: https://t.co/HkpiIXhekF"
HillaryClinton	"We know Donald Trump is not who we are. If you want to shut him down, then let’s vote him down. https://t.co/L4w8ASsIAQ"
HillaryClinton	"""Everything I say, I'm going to do, folks."" —Trump

Here's what the presumptive @GOP nominee would do as president.
https://t.co/SG6qjpzJ8E"
HillaryClinton	"""Unity versus division, compassion versus selfishness, and love versus hate. The stakes don’t get much higher."" https://t.co/nwy7MfMutc"
HillaryClinton	"""I don't think we can take a risk on a loose cannon like Donald Trump running the country."" —Hillary to @AndersonCooper"
HillaryClinton	"""He's a loose cannon, and loose cannons tend to misfire."" —Hillary on @realDonaldTrump: https://t.co/lK8TyiTz2x"
HillaryClinton	"""They couldn't take him on on the issues because they basically agreed with him."" —Hillary on Trump's @GOP rivals: https://t.co/tHSMxfom9b"
HillaryClinton	"""President Trump"" is a dangerous proposition.

Mitt Romney, Ted Cruz, and Marco Rubio agree.
https://t.co/fUkISvgaXC"
HillaryClinton	"Stonewall: the birthplace of a movement, and soon a national monument for equality. https://t.co/Yb1u1tUcR4 #ThanksObama"
HillaryClinton	"""I don't think we can take a risk on a loose cannon like Donald Trump running our country."" —Hillary
https://t.co/xcbYMepYdX"
HillaryClinton	"Trump just stood by his proposals to ban Muslims from entering the U.S. &amp; deport millions of immigrants. Seriously.
https://t.co/8KYse7O8Wn"
HillaryClinton	"Love this, Ellen. Where can I get one? -H https://t.co/JnErtSVkjS"
HillaryClinton	"The Republican Party is now the party of Trump. Here's what it stands for.
https://t.co/kCWJ9m2zNE"
HillaryClinton	"On Holocaust Remembrance Day, we remember the millions of lives lost and rededicate ourselves to fighting hate and intolerance everywhere."
HillaryClinton	We need the strongest team to take on Donald Trump and the GOP in November. Apply to join @HFA today: https://t.co/mqHP020BgD
HillaryClinton	Trump es el presunto nominado del Partido Republicano. No podemos dejar que su retórica odiosa y peligrosa se acerque a la Casa Blanca.
HillaryClinton	"President Trump?

Nope: https://t.co/LFfa59OaHX"
HillaryClinton	"Republicans agree: Donald Trump is reckless, dangerous, and divisive. https://t.co/fUkISvxMmc"
HillaryClinton	"""Do you still believe that Muslims should be banned from entering the country?""

@realDonaldTrump: ""Yes.""
https://t.co/rm4Bjm6SbS"
HillaryClinton	They say your friends reflect who you really are... https://t.co/aubM6KS0BG
HillaryClinton	"""I want more Americans to believe again we are all in this together.""
https://t.co/VECLFeVoyC"
HillaryClinton	"""Everything I say I'm gonna do, folks, I do.""

What Trump says he'll do as president: deport millions of immigrants.
https://t.co/HzFWUTjywT"
HillaryClinton	"“I love Hispanics!” —Trump, 52 minutes ago https://t.co/b9mv7nUduN

“They’re gonna be deported.” —Trump, yesterday https://t.co/HzFWUT1XFl"
HillaryClinton	Trump podría ser tu próximo Comandante del Ejército. ¿Cómo es su visión sobre la política exterior? Irresponsable. https://t.co/9MZs1jUFoV
HillaryClinton	"Last night, Trump stood by his plans to ban Muslims from entering the U.S. and deport millions of immigrants. https://t.co/8KYse7wy4P"
