"trend","symbol","n_period","l_period","date","target","pred_final_avg","pred_final"
"bullish","AAPL",4,1,2020-01-17,"No",0.0800372381462593,0
"bullish","AAPL",4,1,2020-01-21,"No",0.105068557058514,0
"bullish","AAPL",4,1,2020-01-22,"No",0.140861068495426,0
"bullish","AAPL",4,1,2020-01-23,"No",0.311418316670339,0
"bullish","AAPL",4,1,2020-01-24,"No",0.22890666140879,0
"bullish","AAPL",4,1,2020-01-27,"No",0.605714374815445,1
"bullish","AAPL",4,1,2020-01-28,"No",0.81397137268743,1
"bullish","AAPL",4,1,2020-01-29,"No",0.903031105062268,1
"bullish","AAPL",4,1,2020-01-30,"No",0.904794858914728,1
"bullish","AAPL",4,1,2020-01-31,"Yes",0.149515972807899,0
"bullish","AAPL",4,1,2020-02-03,"Yes",0.127294971424226,0
"bullish","AAPL",4,1,2020-02-04,"No",0.146099139871579,0
"bullish","AAPL",4,1,2020-02-05,"No",0.161367950689799,0
"bullish","AAPL",4,1,2020-02-06,"No",0.166358301133793,0
"bullish","AAPL",4,1,2020-02-07,"No",0.141925705318188,0
"bullish","AAPL",4,1,2020-02-10,"No",0.184313907522041,0
"bullish","AAPL",4,1,2020-02-11,"No",0.191635439906257,0
"bullish","AAPL",4,1,2020-02-12,"No",0.179095031676728,0
"bullish","AAPL",4,1,2020-02-13,"No",0.1670608837495,0
"bullish","AAPL",4,1,2020-02-14,"No",0.558388089079585,1
"bullish","AAPL",4,1,2020-02-18,"No",0.448159886927164,0
"bullish","AAPL",4,1,2020-02-19,"No",0.452783251277043,0
"bullish","AAPL",4,1,2020-02-20,"No",0.427045665973388,0
"bullish","AAPL",4,1,2020-02-21,"No",0.44414272573178,0
"bullish","AAPL",4,1,2020-02-24,"No",0.150948098441944,0
"bullish","AAPL",4,1,2020-02-25,"Yes",0.270086909309373,0
"bullish","AAPL",4,1,2020-02-26,"No",0.12763881745648,0
"bullish","AAPL",4,1,2020-02-27,"Yes",0.124158496491851,0
"bullish","AAPL",4,1,2020-02-28,"Yes",0.1139603829648,0
"bullish","AAPL",4,1,2020-03-02,"No",0.100282066024894,0
"bullish","AAPL",4,1,2020-03-03,"No",0.0576169991708786,0
"bullish","AAPL",4,1,2020-03-04,"No",0.0950962824968379,0
"bullish","AAPL",4,1,2020-03-05,"No",0.0841620875489251,0
"bullish","AAPL",4,1,2020-03-06,"No",0.114443998538736,0
"bullish","AAPL",4,1,2020-03-09,"Yes",0.0805986974262215,0
"bullish","AAPL",4,1,2020-03-10,"No",0.0557360655908696,0
"bullish","AAPL",4,1,2020-03-11,"No",0.434339799904824,0
"bullish","AAPL",4,1,2020-03-12,"No",0.282823348291391,0
"bullish","AAPL",4,1,2020-03-13,"No",0.185771184414816,0
"bullish","AAPL",4,1,2020-03-16,"No",0.258131268458269,0
"bullish","AAPL",4,1,2020-03-17,"No",0.14157517089723,0
