"trend","symbol","n_period","l_period","trainMethod","term","class","estimate","conf.low","conf.high","p.value"
"bullish","AAPL",3,1,"gbm","detection_prevalence","Yes",0.27027027027027,NA,NA,NA
"bullish","AAPL",3,1,"gbm","balanced_accuracy","Yes",0.76048951048951,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","accuracy",NA,0.828828828828829,0.745671995324334,0.893682510717952,0.00168725741808946
"bullish","AAPL",3,1,"glm - top layer","kappa",NA,0.571602681291895,NA,NA,0.358795357886942
"bullish","AAPL",3,1,"glm - top layer","sensitivity","Yes",0.636363636363636,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","specificity","Yes",0.91025641025641,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","pos_pred_value","Yes",0.75,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","neg_pred_value","Yes",0.855421686746988,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","precision","Yes",0.75,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","recall","Yes",0.636363636363636,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","f1","Yes",0.688524590163935,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","detection_rate","Yes",0.189189189189189,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","detection_prevalence","Yes",0.252252252252252,NA,NA,NA
"bullish","AAPL",3,1,"glm - top layer","balanced_accuracy","Yes",0.773310023310023,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","accuracy",NA,0.765765765765766,0.675926687502952,0.840928505404808,0.0863992039326105
"bullish","AAPL",3,1,"nb - top layer","kappa",NA,0.419082125603865,NA,NA,0.556298461274735
"bullish","AAPL",3,1,"nb - top layer","sensitivity","Yes",0.545454545454545,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","specificity","Yes",0.858974358974359,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","pos_pred_value","Yes",0.620689655172414,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","neg_pred_value","Yes",0.817073170731707,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","precision","Yes",0.620689655172414,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","recall","Yes",0.545454545454545,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","f1","Yes",0.580645161290323,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","detection_rate","Yes",0.162162162162162,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","detection_prevalence","Yes",0.261261261261261,NA,NA,NA
"bullish","AAPL",3,1,"nb - top layer","balanced_accuracy","Yes",0.702214452214452,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","accuracy",NA,0.837837837837838,0.755874867235345,0.900967180853231,0.000775249408139448
"bullish","AAPL",3,1,"gbm - top layer","kappa",NA,0.582706766917293,NA,NA,0.0989601540194065
"bullish","AAPL",3,1,"gbm - top layer","sensitivity","Yes",0.606060606060606,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","specificity","Yes",0.935897435897436,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","pos_pred_value","Yes",0.8,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","neg_pred_value","Yes",0.848837209302326,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","precision","Yes",0.8,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","recall","Yes",0.606060606060606,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","f1","Yes",0.689655172413793,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","detection_rate","Yes",0.18018018018018,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","detection_prevalence","Yes",0.225225225225225,NA,NA,NA
"bullish","AAPL",3,1,"gbm - top layer","balanced_accuracy","Yes",0.770979020979021,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","accuracy",NA,0.801801801801802,0.715446693538349,0.871423876898424,0.0123480824105332
"bullish","AAPL",3,1,"final - averaging","kappa",NA,0.508454106280193,NA,NA,0.522431284961564
"bullish","AAPL",3,1,"final - averaging","sensitivity","Yes",0.606060606060606,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","specificity","Yes",0.884615384615385,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","pos_pred_value","Yes",0.689655172413793,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","neg_pred_value","Yes",0.841463414634146,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","precision","Yes",0.689655172413793,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","recall","Yes",0.606060606060606,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","f1","Yes",0.645161290322581,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","prevalence","Yes",0.297297297297297,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","detection_rate","Yes",0.18018018018018,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","detection_prevalence","Yes",0.261261261261261,NA,NA,NA
"bullish","AAPL",3,1,"final - averaging","balanced_accuracy","Yes",0.745337995337995,NA,NA,NA
"bullish","AAPL",4,1,"glm","accuracy",NA,0.702702702702703,0.608539479183142,0.785725217792317,0.628335104517908
"bullish","AAPL",4,1,"glm","kappa",NA,0.0327435965143914,NA,NA,6.01051628492323e-06
"bullish","AAPL",4,1,"glm","sensitivity","Yes",0.0625,NA,NA,NA
"bullish","AAPL",4,1,"glm","specificity","Yes",0.962025316455696,NA,NA,NA
"bullish","AAPL",4,1,"glm","pos_pred_value","Yes",0.4,NA,NA,NA
"bullish","AAPL",4,1,"glm","neg_pred_value","Yes",0.716981132075472,NA,NA,NA
"bullish","AAPL",4,1,"glm","precision","Yes",0.4,NA,NA,NA
"bullish","AAPL",4,1,"glm","recall","Yes",0.0625,NA,NA,NA
"bullish","AAPL",4,1,"glm","f1","Yes",0.108108108108108,NA,NA,NA
"bullish","AAPL",4,1,"glm","prevalence","Yes",0.288288288288288,NA,NA,NA
"bullish","AAPL",4,1,"glm","detection_rate","Yes",0.018018018018018,NA,NA,NA
"bullish","AAPL",4,1,"glm","detection_prevalence","Yes",0.045045045045045,NA,NA,NA
"bullish","AAPL",4,1,"glm","balanced_accuracy","Yes",0.512262658227848,NA,NA,NA
"bullish","AAPL",4,1,"nb","accuracy",NA,0.693693693693694,0.599073972220793,0.777673281379598,0.703444561996976
